Summary,Issue Type,Status,Priority,Description
"[PS-40] Setup Spring Boot Project",Task,Done,Medium,"Tạo project Spring Boot + React (Vite). Cấu hình pom.xml, package structure (controller, service, repository, model, config, dto)"
"[PS-41] Database Schema",Task,Done,Medium,"Thiết kế ERD, tạo Entity JPA: User, Stock, Transaction, Portfolio, Watchlist, StockPriceHistory"
"[PS-42] Configure JPA Hibernate",Task,Done,Medium,"Cấu hình ddl-auto, dialect, naming strategy, relationship mapping"
"[PS-43] Integrate Redis",Task,To Do,High,"Cài Redis, cấu hình spring-boot-starter-data-redis, tạo RedisConfig"
"[PS-8] User Registration API + UI",Task,Done,High,"AuthController.register(), RegisterPage.jsx, BCrypt password, validation"
"[PS-9] User Login API + UI",Task,Done,High,"AuthController.login(), LoginPage.jsx, JWT token, localStorage"
"[PS-10] JWT Authentication",Task,Done,High,"JwtAuthFilter, JwtUtils, SecurityConfig, axios interceptor Authorization header"
"[PS-11] User Profile API + UI",Task,Done,Medium,"UserController.getProfile/updateProfile(), ProfilePage.jsx"
"[PS-12] Change Password",Task,Done,Medium,"UserController.changePassword(), verify old password"
"[PS-14] Stock Entity",Task,Done,Medium,"Entity Stock: ticker, currentPrice, openPrice, highPrice, lowPrice, volume, change, changePercent"
"[PS-15] Stock List API + UI",Task,Done,Medium,"StockController.getAllStocks(), pagination, filter sàn HOSE/HNX, StockListPage.jsx"
"[PS-16] Stock Detail API + UI",Task,Done,Medium,"StockController.getStockDetail(ticker), StockDetailPage.jsx"
"[PS-17] Price History API + Chart",Task,Done,Medium,"StockPriceHistory entity, API getHistory, biểu đồ trong StockDetailPage"
"[PS-18] Stock Search",Task,Done,Medium,"StockController.search(keyword), SearchBar.jsx autocomplete + debounce"
"[PS-20] Buy Stock API + UI",Task,Done,High,"TradeController.buyStock(), TradeService validate + trừ balance, TradingPage.jsx"
"[PS-21] Sell Stock API + UI",Task,Done,High,"TradeController.sellStock(), validate CP đang giữ, cộng balance"
"[PS-22] Check Balance Before Trade",Task,Done,Medium,"TradeService.validateBalance(), disable nút mua nếu không đủ"
"[PS-23] Update Portfolio After Trade",Task,Done,Medium,"Tự động cập nhật portfolio, tính giá trung bình mua"
"[PS-24] Save Transaction History",Task,Done,Medium,"Transaction entity, lưu mọi giao dịch BUY/SELL"
"[PS-25] Transaction History API + UI",Task,Done,Medium,"TradeController.getHistory(), filter BUY/SELL, pagination, TransactionHistoryPage.jsx"
"[PS-26] Portfolio Entity",Task,Done,Medium,"Portfolio.java: userId, stockId, quantity, avgBuyPrice"
"[PS-27] View Portfolio API + UI",Task,Done,Medium,"TradeController.getPortfolio(), PortfolioPage.jsx"
"[PS-28] Calculate Portfolio Value",Task,Done,Medium,"getPortfolioSummary() tổng tài sản, Pie Chart phân bổ"
"[PS-29] Profit/Loss Calculation",Task,Done,Medium,"PnL = (currentPrice - avgBuyPrice) x quantity, hiển thị %"
"[SEC-1] Gửi OTP qua Email",Task,To Do,High,"OtpService sinh OTP 6 số, lưu Redis TTL 5 phút, gửi email qua JavaMailSender"
"[SEC-2] Xác thực OTP khi đăng ký",Task,To Do,High,"Sau register yêu cầu nhập OTP xác thực email trước khi kích hoạt tài khoản. UI: màn hình nhập OTP, countdown, nút gửi lại"
"[SEC-3] OTP khi đặt lệnh giao dịch",Task,To Do,Medium,"Lệnh có giá trị lớn yêu cầu OTP xác nhận. UI: modal nhập OTP trước submit"
"[SEC-4] OTP khi đổi mật khẩu",Task,To Do,High,"Gửi OTP về email, verify trước khi đổi. UI: bước 1 nhập OTP, bước 2 nhập MK mới"
"[SEC-5] Quên mật khẩu",Task,To Do,High,"AuthController.forgotPassword() gửi OTP, resetPassword() verify + đặt MK mới. UI: trang quên MK"
"[SEC-6] Xác thực 2 bước đăng nhập",Task,To Do,Medium,"Sau login thành công gửi OTP, verify mới trả token. UI: bước 2 đăng nhập nhập OTP"
"[SEC-7] Token Blacklist Logout",Task,To Do,Medium,"Lưu token đã logout vào Redis, check trong JwtAuthFilter. Frontend: xóa token + gọi API logout"
